g g attends illawarra remembrance day,0.299983263,0.149037197,0.140599787,0.138825133,0.27155453
glory on top of knights,0.207575575,0.537377715,0.04319606,0.163550377,0.04830027
gm canola contamination report released,0.561751187,0.159828961,0.173026323,0.051128786,0.054264724
governments work towards charlestown masterplan,0.174987346,0.327868909,0.327814937,0.080858968,0.08846987
govt accused of using bullying tactics to force,0.296702862,0.058262687,0.117637746,0.294771701,0.232625037
govt bypasses council and approves denmark wind,0.266110629,0.100958601,0.314556032,0.160156533,0.15821819
govt dismisses bus patronage concerns,0.252141893,0.231054783,0.267585903,0.115346983,0.133870408
govt quizzed over kosciuszko dog baiting plans,0.424314588,0.062235549,0.184874833,0.107880957,0.22069411
gower warns of french resistance,0.601483464,0.115526609,0.097737342,0.081038423,0.104214169
greens seek inquiry into jockey offer allegations,0.102394551,0.120819703,0.394161582,0.077009946,0.305614233
gregan put on notice horan,0.304111779,0.203462765,0.174640298,0.147875652,0.169909522
gungahlin roadwork delays slow other upgrades,0.304111779,0.203462765,0.174640298,0.147875652,0.169909522
hackers use sony bmg software to hide in pcs,0.304111779,0.203462765,0.174640298,0.147875652,0.169909522
health service faces funding cut,0.22848466,0.07808239,0.314337611,0.245207235,0.133888185
henry takes all blacks into new era,0.286643237,0.242981821,0.22576575,0.171866268,0.072742917
heritage council rejects camberwell station listing,0.306132793,0.067676917,0.387506753,0.069863692,0.16881986
heroin addict gets 20 years for taxi drivers murder,0.162125364,0.258685947,0.317706257,0.060430661,0.201051846
hodge in form with century against windies,0.304111779,0.203462765,0.174640298,0.147875652,0.169909522
hodge justifies test call up,0.057704967,0.306828588,0.316834658,0.136842102,0.181789741
hodge tunes up with half century,0.304111779,0.203462765,0.174640298,0.147875652,0.169909522
hope for aussie on death row not lost labor,0.392555714,0.091339432,0.24431318,0.105850153,0.165941536
hope for health service funding to continue,0.224662349,0.085742086,0.3201226,0.24951157,0.119961433
hospital emergency service delay creates angst,0.111558884,0.198147416,0.298957586,0.156964034,0.234372109
hunter man in running for senior of the year award,0.123581886,0.145608023,0.124972403,0.195754305,0.410083413
ideas aplenty for harbourside project area,0.304111779,0.203462765,0.174640298,0.147875652,0.169909522
indonesian police say gunfire killed azahari,0.050730418,0.306135953,0.154829249,0.140412018,0.347892344
iran frees detained aussie british couple,0.175235093,0.329565674,0.130806267,0.090701491,0.273691505
